cpu_num,cpu_percent,memory_info
156,0.0,4.4921875
167,4009.5,11.296875
156,4300.7,19.65234375
156,108.5,45.08984375
156,97.7,65.40625
164,97.0,144.95703125
165,94.4,249.80078125
165,91.6,261.44921875
165,100.7,266.18359375
165,91.3,311.98828125
149,99.6,459.40625
149,80.4,526.31640625
149,88.3,602.8984375
149,96.1,672.94921875
149,78.0,758.4921875
149,85.4,840.765625
149,93.0,957.34765625
149,81.9,1004.74609375
149,89.9,1053.73046875
149,80.9,1088.37890625
150,88.7,1121.70703125
151,72.4,1154.25
151,80.0,1187.6171875
151,79.9,1222.421875
175,87.7,1226.1875
175,79.7,1233.5390625
175,79.7,1242.18359375
175,87.7,1248.7265625
175,79.5,1253.47265625
175,79.7,1260.12109375
175,95.4,1265.04296875
175,79.5,1270.4765625
175,87.4,1273.4296875
175,79.4,1283.16796875
175,87.2,1285.4375
175,79.3,1287.39453125
175,87.2,1290.94921875
175,79.3,1294.84765625
175,79.3,1300.68359375
175,87.0,1303.453125
175,79.2,1315.94140625
175,79.1,1347.80859375
175,78.9,1379.20703125
175,86.6,1387.234375
175,70.6,1390.109375
175,94.5,1392.00390625
175,86.6,1393.87109375
175,78.5,1400.30859375
175,78.6,1402.99609375
175,94.1,1406.15234375
175,94.1,1409.5859375
175,86.4,1415.06640625
175,78.4,1421.4609375
175,78.4,1430.41796875
175,78.5,1432.30078125
175,101.5,1440.234375
175,86.3,1447.65625
175,70.5,1451.86328125
175,78.2,1496.1640625
175,101.4,1548.44140625
175,77.8,1556.65234375
175,93.3,1563.66796875
175,100.6,1565.05859375
175,77.7,1572.04296875
175,85.3,1577.88671875
175,85.3,1581.86328125
175,77.5,1588.42578125
175,85.2,1592.94921875
175,77.6,1593.3046875
175,100.7,1596.5078125
175,92.8,1600.84375
175,77.6,1606.0
175,69.7,1613.109375
175,92.8,1616.89453125
175,77.4,1620.83984375
175,69.7,1625.8984375
175,85.2,1630.578125
175,85.2,1635.0859375
175,77.3,1647.9140625
175,100.2,1647.9140625
175,100.1,1651.93359375
175,84.8,1654.7421875
175,77.1,1660.03515625
175,77.1,1663.01953125
175,84.8,1673.19140625
175,92.4,1674.76953125
175,76.7,1677.06640625
175,76.8,1679.52734375
175,92.2,1681.6875
175,69.3,1685.65234375
175,84.5,1709.0390625
175,76.8,1726.6875
175,92.0,1727.66796875
175,99.4,1727.66796875
175,99.2,1735.60546875
175,68.9,1742.13671875
175,84.0,1747.41015625
175,76.3,1748.91015625
175,30.5,1758.4140625
175,0.0,1758.4140625
175,30.6,1767.1796875
175,0.0,1767.1796875
175,0.0,1767.4375
175,175.1,1785.29296875
175,197.7,1786.765625
175,0.0,1786.765625
175,0.0,1786.765625
175,0.0,1788.05078125
175,0.0,1788.30859375
175,0.0,1790.62890625
175,0.0,1790.62890625
175,53.2,1802.94921875
175,182.4,1804.5078125
175,98.4,1804.5078125
175,98.8,1804.68359375
175,98.3,1804.68359375
175,98.6,1804.68359375
175,106.9,1803.83984375
175,99.9,1803.83984375
175,100.0,1803.83984375
175,99.9,1803.33984375
175,92.6,1804.17578125
175,99.3,1804.23828125
175,99.8,1801.875
175,99.9,1704.71875
175,87.0,1704.8515625
175,65.3,0.0
