cpu_num,cpu_percent,memory_info
169,0.0,4.08984375
169,89.1,12.5703125
37,5142.4,23.1796875
37,88.7,66.08203125
37,106.8,91.6875
37,95.7,241.46875
37,82.5,263.16796875
0,109.3,268.16015625
0,91.9,340.16015625
0,88.7,482.984375
0,85.2,560.58984375
0,84.0,644.3203125
0,82.6,742.78125
0,80.5,843.46484375
0,85.9,979.50390625
0,75.9,1016.5859375
0,75.1,1063.91796875
0,74.4,1099.7578125
47,66.7,1137.3984375
0,81.0,1174.640625
0,73.2,1211.49609375
0,73.3,1225.5625
0,85.3,1230.8828125
0,64.6,1238.8515625
0,71.6,1244.8671875
0,71.3,1251.453125
0,78.5,1257.24609375
175,64.2,1262.28125
175,78.2,1268.5390625
175,78.6,1272.0390625
175,64.1,1273.66015625
175,78.6,1283.58984375
39,78.3,1285.44140625
39,78.4,1287.12109375
39,71.1,1291.90625
39,71.1,1295.16796875
39,71.3,1301.76171875
39,78.1,1304.78125
39,71.0,1319.359375
22,71.0,1358.8515625
22,70.5,1379.26171875
22,70.1,1388.03515625
22,76.9,1390.09765625
22,83.6,1391.73046875
22,69.5,1393.546875
22,62.8,1399.6171875
22,83.8,1403.58984375
22,69.7,1405.14453125
22,90.3,1409.89453125
22,76.6,1416.8671875
22,76.4,1425.48046875
22,69.4,1431.2578125
22,103.4,1436.1640625
22,69.4,1442.97265625
22,76.0,1450.03515625
22,69.0,1461.640625
22,82.6,1498.16015625
22,75.4,1554.82421875
22,74.9,1559.7890625
22,68.3,1561.61328125
22,108.6,1566.2109375
22,68.1,1572.5390625
22,68.2,1578.171875
22,74.9,1582.32421875
22,81.4,1588.8203125
22,67.6,1593.58203125
22,67.6,1594.3359375
22,107.6,1595.578125
22,67.6,1600.30078125
22,74.2,1605.74609375
22,67.3,1613.1328125
22,74.0,1617.1328125
22,67.3,1620.828125
22,67.5,1626.0
22,74.2,1631.56640625
22,74.7,1636.85546875
22,67.7,1649.69921875
22,93.4,1649.81640625
22,93.7,1653.6328125
22,73.9,1658.08203125
22,79.4,1661.7421875
22,81.5,1668.33984375
22,78.9,1673.96484375
22,86.8,1675.91796875
22,79.1,1678.609375
22,79.1,1680.75
22,86.7,1684.03515625
22,79.0,1691.86328125
22,79.0,1725.1953125
22,79.1,1730.67578125
22,80.8,1733.12890625
