cpu_num,cpu_percent,memory_info
154,0.0,4.19140625
154,89.2,13.234375
37,4688.3,26.8515625
37,98.4,65.578125
37,96.8,99.88671875
37,95.6,250.08203125
37,100.2,263.0625
37,100.1,269.078125
37,90.9,404.6640625
37,106.8,496.2578125
37,78.3,575.63671875
37,85.7,654.3359375
37,92.9,758.23828125
37,74.5,858.28515625
37,89.3,986.32421875
37,78.8,1025.91015625
37,78.4,1072.5625
37,77.7,1108.86328125
37,77.3,1146.45703125
37,76.7,1183.16015625
37,83.8,1223.03125
37,75.5,1226.40625
37,83.1,1233.85546875
37,82.8,1242.64453125
37,90.4,1250.19921875
37,75.2,1256.1015625
37,82.7,1261.84765625
37,75.2,1267.90625
37,82.5,1271.96875
37,74.9,1275.03125
37,74.8,1283.7421875
37,74.8,1285.62109375
37,74.7,1287.828125
37,89.7,1292.765625
37,82.2,1297.02734375
37,74.5,1302.546875
37,96.7,1315.16015625
37,81.7,1346.046875
37,73.8,1377.7421875
37,73.7,1386.3671875
37,73.7,1389.921875
37,81.0,1391.84765625
37,73.7,1393.859375
37,88.3,1400.3515625
37,88.5,1403.96875
37,80.7,1405.8125
37,87.9,1410.39453125
37,80.6,1417.6796875
37,80.7,1426.734375
37,80.4,1432.04296875
37,102.1,1437.91796875
37,73.0,1445.80859375
37,72.7,1450.58984375
37,72.8,1491.90234375
37,101.4,1519.078125
37,65.1,1555.640625
37,79.3,1561.60546875
37,71.9,1563.47265625
37,107.6,1569.984375
37,71.7,1576.1484375
37,78.9,1580.65625
37,64.5,1587.35546875
37,85.8,1592.5625
37,71.5,1593.09375
37,99.8,1596.640625
37,85.6,1601.53125
37,71.4,1609.3203125
37,71.6,1613.98046875
37,78.7,1617.6171875
37,71.6,1622.59765625
37,71.5,1628.05078125
37,78.6,1632.6640625
37,71.6,1645.64453125
37,78.4,1647.87890625
37,92.2,1648.73046875
37,78.2,1652.86328125
37,71.3,1657.12890625
37,71.1,1661.81640625
37,85.3,1668.19140625
37,71.1,1674.046875
37,78.0,1676.24609375
37,70.8,1679.1328125
37,78.0,1681.23828125
37,85.0,1685.2734375
37,78.0,1708.76953125
37,84.6,1726.53125
37,70.3,1727.390625
37,105.1,1727.58203125
37,84.1,1736.6328125
37,63.2,1742.70703125
37,76.9,1748.3203125
37,79.8,1805.91796875
37,79.3,1916.51953125
37,78.4,2025.57421875
37,85.4,2134.37109375
37,68.9,2240.84765625
37,76.0,2349.12890625
37,75.2,2459.73046875
37,82.1,2570.58984375
37,74.0,2679.90234375
37,73.2,2791.27734375
37,72.5,2901.87890625
37,71.9,3012.22265625
37,71.1,3121.27734375
37,70.7,3229.81640625
37,70.0,3337.8359375
37,69.4,3447.6640625
37,68.6,3557.75
37,74.8,3668.3515625
37,60.7,3779.2109375
37,73.5,3890.84375
37,59.8,4001.4453125
37,72.5,4113.59375
37,65.6,4225.2265625
37,65.1,4339.953125
37,69.6,4453.1328125
37,63.9,4563.73046875
37,63.7,4675.62109375
37,63.3,4787.25390625
37,56.5,4899.40234375
37,62.3,5011.55078125
37,68.1,5123.69921875
37,61.4,5236.36328125
37,61.2,5348.51171875
37,60.7,5460.66015625
37,60.3,5573.06640625
37,59.8,5685.47265625
37,59.6,5797.87890625
37,59.1,5908.2109375
37,64.5,6020.6171875
37,58.3,6133.28125
37,57.9,6245.9453125
37,57.6,6358.609375
37,51.5,6471.53125
37,62.4,6584.1953125
37,56.5,6697.1015625
37,56.1,6809.25
37,55.8,6921.140625
37,55.4,7032.7734375
37,55.1,7140.78125
37,60.2,7251.8828125
37,49.0,7362.46875
37,54.1,7472.796875
37,53.8,7582.8671875
37,53.5,7692.41796875
37,58.5,7802.48828125
37,52.8,7912.55859375
37,52.5,8022.88671875
37,52.2,8134.24609375
37,52.0,8245.86328125
37,51.6,8354.38671875
37,51.3,8467.03125
37,51.1,8579.6796875
37,50.8,8692.84375
37,50.5,8806.5234375
37,55.2,8919.16796875
37,49.8,9032.07421875
37,44.7,9144.20703125
37,54.5,9255.82421875
37,49.4,9366.41015625
37,44.2,9476.4765625
37,53.9,9489.92578125
37,101.1,9489.92578125
37,96.3,9489.92578125
37,101.6,9489.92578125
37,100.9,9489.92578125
37,100.9,9489.92578125
37,101.0,9489.92578125
37,96.2,9489.92578125
37,101.1,9489.92578125
37,100.9,9489.92578125
37,101.1,9489.92578125
37,96.5,9489.92578125
37,101.1,9489.92578125
37,101.2,9489.92578125
37,96.3,9489.92578125
37,101.1,9489.92578125
37,102.6,9490.3828125
37,97.9,9490.89453125
37,98.1,9491.41015625
37,103.0,9491.92578125
37,98.0,9492.44140625
37,98.1,9492.69921875
37,98.2,9493.21484375
37,102.8,9493.73046875
37,98.1,9494.24609375
37,103.0,9494.76171875
37,98.0,9495.27734375
37,98.1,9495.79296875
37,98.0,9496.05078125
37,102.7,9496.56640625
37,97.9,9497.08203125
37,103.0,9504.81640625
37,102.6,9505.33203125
37,98.0,9505.84765625
37,98.0,9506.36328125
37,99.5,9506.87890625
37,99.5,9507.39453125
37,99.2,9507.65234375
37,79.1,9508.16796875
37,100.2,9508.68359375
37,100.5,9508.94140625
37,85.5,9509.45703125
37,95.7,9509.97265625
37,100.6,9510.48828125
37,100.5,9510.74609375
37,100.8,9511.26171875
37,100.7,9511.77734375
37,100.8,9512.03515625
37,75.7,9512.55078125
37,100.3,9513.06640625
37,100.6,9513.58203125
37,100.7,9513.83984375
37,95.7,9514.3671875
37,100.7,9514.8828125
37,100.6,9515.3984375
37,100.6,9515.9140625
37,100.7,9516.171875
37,60.6,9516.4296875
37,95.7,9516.9453125
37,100.5,9517.4609375
37,100.9,9517.9765625
37,100.7,9518.4921875
37,101.1,9518.75
37,100.9,9519.265625
37,100.6,9519.78125
37,100.8,9520.296875
37,100.6,9520.8125
37,95.8,9521.0703125
37,90.7,9521.5859375
37,100.2,9522.1015625
37,95.6,9522.6171875
37,100.7,9522.875
37,100.8,9523.390625
37,100.7,9523.90625
37,100.6,9524.421875
37,100.7,9524.9375
37,95.5,9525.1953125
37,100.7,9525.7109375
37,100.9,9526.2265625
37,100.5,9526.7421875
37,100.7,9527.0
37,95.6,9527.5234375
37,75.5,9528.0390625
37,100.6,9528.42578125
37,100.6,9528.94140625
37,100.6,9529.328125
37,100.6,9529.84375
37,100.7,9530.23046875
37,95.8,9530.74609375
37,100.3,9531.26171875
37,100.5,9531.64453125
37,100.6,9532.16015625
37,95.6,9532.546875
37,100.7,9533.0625
37,105.6,9533.44921875
37,95.5,9533.96484375
37,105.7,9534.48046875
37,100.6,9534.8671875
37,95.7,9535.3828125
37,100.7,9535.640625
37,50.5,9536.02734375
37,100.6,9536.54296875
37,100.7,9536.9296875
37,100.7,9537.4453125
37,100.6,9537.83203125
37,100.7,9538.34765625
37,95.5,9538.86328125
37,100.7,9539.25
37,100.6,9539.765625
37,100.5,9540.15234375
37,100.6,9540.66796875
37,100.6,9541.18359375
37,100.6,9541.5703125
37,100.8,9542.0859375
37,95.2,9542.47265625
37,100.5,9542.98828125
37,100.7,9543.375
37,100.7,9543.890625
37,100.7,9544.40625
37,100.6,9544.79296875
37,100.6,9545.30859375
37,100.6,9545.82421875
37,100.5,9546.2109375
37,100.5,9546.7265625
37,95.6,9547.11328125
37,100.6,9547.62890625
37,100.8,9548.14453125
37,100.6,9548.53125
37,100.7,9549.046875
37,100.5,9549.43359375
37,100.6,9549.94921875
37,95.6,9550.46484375
37,100.7,9550.8515625
37,100.6,9551.3671875
37,100.6,9551.75390625
37,100.7,9552.26953125
37,100.6,9552.78515625
37,95.5,9553.2578125
37,100.7,9553.6796875
37,100.6,9554.1484375
37,100.5,9554.6171875
37,100.5,9555.0859375
37,100.6,9555.55078125
37,100.5,9556.01953125
37,95.5,9556.48828125
37,100.5,9556.953125
37,100.5,9557.421875
37,100.6,9557.890625
37,100.3,9558.359375
37,95.5,9558.69921875
37,80.3,9559.16796875
37,100.7,9559.6328125
37,95.5,9560.1015625
37,100.6,9560.5703125
37,100.5,9561.03515625
37,100.8,9561.50390625
37,100.6,9561.97265625
37,100.6,9562.44140625
37,100.6,9562.90625
37,100.4,9563.375
37,100.5,9563.796875
37,100.6,9564.265625
37,100.5,9564.734375
37,95.3,9565.19921875
37,100.3,9565.66796875
37,100.4,9566.13671875
37,100.6,9566.390625
37,50.3,9566.8359375
37,105.5,9567.30078125
37,100.5,9567.76953125
37,100.3,9568.23828125
37,100.5,9568.70703125
37,95.5,9569.15625
37,100.6,9569.625
37,100.5,9570.08984375
37,95.5,9570.55859375
37,100.7,9571.02734375
37,100.6,9571.4921875
37,100.4,9571.9609375
37,100.6,9572.4296875
37,100.6,9572.8515625
37,105.5,9573.3203125
37,95.5,9573.7890625
37,100.6,9574.2578125
37,100.4,9574.72265625
37,100.5,9575.01953125
37,65.4,9575.48828125
37,100.4,9575.95703125
37,100.7,9576.421875
37,95.4,9576.890625
37,100.3,9577.34765625
37,95.5,9577.8125
37,100.5,9578.28125
37,100.5,9578.70703125
37,100.5,9579.17578125
37,100.4,9579.64453125
37,100.4,9580.109375
37,100.5,9580.578125
37,100.6,9581.046875
37,100.3,9581.51171875
37,100.4,9581.98046875
37,100.6,9582.44921875
37,100.5,9582.91796875
37,95.4,9583.3828125
37,100.4,9583.8515625
37,100.6,9584.3203125
37,100.6,9584.765625
37,90.7,9585.234375
37,100.6,9585.69921875
37,100.4,9586.16796875
37,100.2,9586.63671875
37,95.4,9587.10546875
37,100.5,9587.5703125
37,100.5,9588.0390625
37,100.6,9588.5
37,100.5,9588.96875
37,100.4,9589.43359375
37,100.6,9589.90234375
37,100.5,9590.37109375
37,95.5,9590.83984375
37,100.4,9591.3046875
37,100.5,9591.7734375
37,100.6,9592.23828125
37,100.8,9592.70703125
37,100.4,9593.17578125
37,100.5,9593.64453125
37,95.6,9594.109375
37,100.4,9594.578125
37,100.5,9595.046875
37,100.4,9595.515625
37,100.0,9595.98046875
37,100.5,9596.44921875
37,100.4,9596.91796875
37,100.5,9597.3828125
37,95.5,9597.8515625
37,100.5,9598.3203125
37,100.3,9598.7890625
37,100.5,9599.25390625
37,100.4,9599.72265625
37,100.6,9600.19140625
37,100.4,9600.65625
37,100.4,9601.16796875
37,100.5,9601.63671875
37,100.4,9602.10546875
37,100.4,9602.5703125
37,100.3,9603.0390625
37,100.5,9603.5078125
37,100.5,9603.97265625
37,95.5,9604.44140625
37,100.6,9604.91015625
37,100.0,9605.37890625
37,100.3,9605.84375
37,100.6,9606.3125
37,100.3,9606.78125
37,100.3,9607.25
37,100.4,9607.71484375
37,100.3,9607.97265625
37,60.2,9608.4375
37,100.6,9608.90625
37,100.6,9609.375
37,100.4,9609.84375
37,95.6,9610.30859375
37,100.2,9610.77734375
37,100.5,9611.24609375
37,100.3,9611.7109375
37,100.2,9612.1796875
37,95.5,9612.6484375
37,100.3,9613.1171875
37,100.3,9613.58203125
37,100.3,9614.0078125
37,100.2,9614.4765625
37,100.4,9614.9453125
37,100.3,9615.41015625
37,100.5,9615.87890625
37,100.4,9616.34765625
37,100.3,9616.81640625
37,100.5,9617.28125
37,95.3,9617.70703125
37,100.4,9618.17578125
37,105.5,9618.64453125
37,95.3,9619.109375
37,100.4,9619.578125
37,100.3,9620.046875
37,100.4,9620.515625
37,100.4,9620.98046875
37,100.4,9621.44921875
37,100.4,9621.83203125
37,80.3,9622.30078125
37,100.3,9622.76953125
37,100.6,9623.234375
37,100.0,9623.66015625
37,100.4,9624.12890625
37,100.3,9624.59765625
37,95.3,9625.0625
37,100.5,9625.53125
37,100.2,9626.0
37,100.4,9626.46875
37,100.4,9626.93359375
37,100.6,9627.40234375
37,100.4,9627.87109375
37,100.1,9628.3359375
37,100.4,9628.8046875
37,100.3,9629.23046875
37,100.5,9629.69921875
37,95.3,9630.1640625
