cpu_num,cpu_percent,memory_info
169,0.0,4.0859375
169,89.1,13.69140625
89,6857.7,23.03515625
89,98.6,46.61328125
89,97.2,68.85546875
89,96.8,147.7578125
89,103.3,258.0078125
89,90.7,265.5859375
89,99.7,271.46875
89,100.0,407.00390625
89,80.2,493.10546875
89,96.3,568.19921875
89,86.7,645.015625
89,87.9,733.703125
89,84.8,825.03125
89,83.4,930.06640625
89,81.8,1006.41796875
89,88.1,1047.55859375
89,79.7,1079.6953125
89,79.9,1111.52734375
89,86.7,1143.0859375
89,71.1,1174.93359375
89,78.6,1206.4375
89,78.2,1226.421875
89,85.8,1231.3515625
89,77.8,1238.19140625
89,78.5,1244.4296875
89,77.7,1251.84375
89,77.8,1257.5625
89,85.5,1262.890625
89,77.7,1268.7890625
89,77.9,1272.234375
89,93.0,1277.59765625
67,85.8,1285.51953125
67,85.5,1287.21875
67,77.4,1289.63671875
67,84.9,1294.23046875
67,77.3,1299.24609375
67,84.7,1302.1328125
67,77.2,1310.62109375
67,84.4,1338.08984375
67,76.4,1378.44921875
67,83.6,1387.23046875
67,75.6,1389.48046875
67,83.8,1391.125
67,83.6,1393.35546875
67,83.5,1399.44921875
67,83.3,1402.984375
67,75.5,1404.7734375
67,106.2,1408.00390625
67,76.7,1413.66796875
67,75.3,1420.14453125
67,75.3,1428.375
67,76.1,1430.92578125
67,98.4,1438.359375
67,82.3,1445.87109375
67,74.5,1471.4609375
67,74.5,1511.38671875
67,66.7,1551.87109375
67,81.8,1592.6953125
67,72.8,1633.38671875
67,72.6,1673.28515625
67,72.2,1713.62109375
67,71.6,1754.375
67,71.3,1794.40234375
67,71.0,1835.359375
67,70.7,1875.71484375
67,70.4,1916.3359375
67,76.9,1956.5859375
67,69.7,1997.17578125
67,69.3,2037.87109375
67,61.9,2078.61328125
67,75.2,2117.90625
67,68.4,2155.93359375
67,68.1,2193.8828125
67,67.4,2182.69140625
67,67.7,2099.94140625
67,61.9,2128.98828125
67,103.1,2219.73828125
67,102.1,2307.21875
67,101.5,2397.453125
67,94.2,2491.0390625
67,99.8,2584.8828125
67,99.6,2680.53125
67,105.7,2771.5390625
67,98.6,2865.8984375
67,98.0,2961.546875
67,97.3,3057.7109375
67,103.3,3151.5625
67,102.6,3245.921875
67,95.6,3340.28125
67,95.4,3437.9921875
67,107.3,3535.4453125
67,100.4,3676.94140625
67,93.6,3904.33203125
67,104.1,4141.26171875
67,95.8,4378.19140625
67,101.1,4617.18359375
67,99.3,4867.77734375
67,98.7,5113.98828125
67,103.2,5113.98828125
67,96.9,5113.98828125
67,102.7,5113.98828125
67,97.3,5113.98828125
67,97.2,5113.98828125
67,102.9,5113.98828125
67,97.1,5113.98828125
67,103.0,5113.98828125
67,97.0,5113.98828125
67,102.7,5113.98828125
67,97.2,5113.98828125
67,96.9,5113.98828125
67,102.8,5113.98828125
67,96.7,5113.98828125
67,102.7,5113.98828125
67,97.1,5113.98828125
67,97.3,5113.98828125
67,102.8,5113.98828125
67,97.1,5113.98828125
67,102.6,5113.98828125
67,97.1,5113.98828125
67,97.1,5113.98828125
67,103.2,5113.98828125
67,102.8,5113.98828125
67,97.0,5113.98828125
67,97.1,5113.98828125
67,103.3,5113.98828125
67,97.5,5113.98828125
67,97.5,5113.98828125
67,103.1,5113.98828125
67,97.2,5113.98828125
67,97.3,5113.98828125
67,98.2,5113.98828125
67,103.1,5113.98828125
67,102.9,5113.98828125
67,97.2,5113.98828125
67,97.3,5113.98828125
67,102.9,5113.98828125
67,97.4,5113.98828125
